sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,67,細懸浮微粒,普通,0.7,0.36,61.6,58.9,53,24,4.1,4.6,0.5,1.7,98,"2023/04/07 22:00:00",0.3,22,39,0,121.760056,25.129167,1
汐止,新北市,65,細懸浮微粒,普通,0.7,0.33,56.7,51.3,41,20,6,6.8,0.8,2.4,37,"2023/04/07 22:00:00",0.3,21,34,0,121.64081,25.06624,2
萬里,新北市,78,懸浮微粒,普通,0.1,0.35,64.2,62,86,30,2.6,3,0.4,6.2,31,"2023/04/07 22:00:00",0.3,25,78,0,121.689881,25.179667,3
新店,新北市,61,細懸浮微粒,普通,0.4,0.44,53.4,47.6,41,21,10,10.7,0.7,1.5,84,"2023/04/07 22:00:00",0.4,19,38,0,121.537778,24.977222,4
土城,新北市,65,細懸浮微粒,普通,1.3,0.46,48.6,42.3,39,23,10.2,10.8,0.5,1.5,276,"2023/04/07 22:00:00",0.4,21,36,1,121.451861,24.982528,5
板橋,新北市,63,細懸浮微粒,普通,0.3,0.49,51.9,44.8,45,21,14.8,15.8,1,3.5,46,"2023/04/07 22:00:00",0.5,20,36,0,121.458667,25.012972,6
新莊,新北市,72,細懸浮微粒,普通,0.5,0.42,55.5,45.6,44,27,9,9.8,0.8,4.2,76,"2023/04/07 22:00:00",0.4,24,42,0,121.4325,25.037972,7
菜寮,新北市,73,細懸浮微粒,普通,0.8,0.47,54.6,47.7,38,28,10.7,11.7,0.9,2.8,83,"2023/04/07 22:00:00",0.5,24,35,0,121.481028,25.06895,8
林口,新北市,68,細懸浮微粒,普通,0.4,0.4,53.7,49.3,39,20,8.5,9,0.5,2,50,"2023/04/07 22:00:00",0.3,22,37,0,121.36548982,25.07798949,9
淡水,新北市,70,細懸浮微粒,普通,1.1,0.37,56.8,53.6,35,18,3.9,4.6,0.7,,,"2023/04/07 22:00:00",0.4,23,35,0,121.449239,25.1645,10
士林,臺北市,71,細懸浮微粒,普通,0.9,0.36,58,52.5,34,23,5.1,5.7,0.6,1.8,46,"2023/04/07 22:00:00",0.4,23,35,0,121.51666356,25.10334003,11
中山,臺北市,71,細懸浮微粒,普通,0.4,0.55,46.5,39,40,25,17.1,18.7,1.5,2.3,100,"2023/04/07 22:00:00",0.6,23,38,0,121.526528,25.062361,12
萬華,臺北市,73,細懸浮微粒,普通,0.7,0.5,47.2,41.3,43,23,17.7,18.9,1.1,2.7,78,"2023/04/07 22:00:00",0.5,24,37,0,121.507972,25.046503,13
古亭,臺北市,73,細懸浮微粒,普通,0.9,0.43,50.8,47.8,41,25,11.1,11.7,0.5,1.6,44,"2023/04/07 22:00:00",0.4,24,36,0,121.529556,25.020608,14
松山,臺北市,64,細懸浮微粒,普通,0.7,0.39,52.7,49,43,18,11.8,12.9,1.1,2.3,47,"2023/04/07 22:00:00",0.4,20,36,0,121.578611,25.05,15
大同,臺北市,74,細懸浮微粒,普通,0.9,0.66,37.9,29.9,54,25,20.7,26.6,5.9,-,-,"2023/04/07 22:00:00",0.7,24,47,0,121.51342074,25.06331455,16
桃園,桃園市,71,細懸浮微粒,普通,1.2,0.53,49.2,38.1,48,29,13.6,14.1,0.4,2.3,63,"2023/04/07 22:00:00",0.5,23,39,0,121.30500531,24.9947107,17
大園,桃園市,69,細懸浮微粒,普通,1.5,0.38,57.4,48.9,48,21,7.8,9,1.1,4.3,52,"2023/04/07 22:00:00",0.4,23,45,1,121.20251473,25.06100357,18
觀音,桃園市,84,細懸浮微粒,普通,1.8,0.37,56.6,54.8,43,24,9,9.8,0.8,7,79,"2023/04/07 22:00:00",0.3,28,46,1,121.08283092,25.03556747,19
平鎮,桃園市,67,細懸浮微粒,普通,0.7,0.54,44.8,40.9,41,19,15.8,16.5,0.6,3.6,84,"2023/04/07 22:00:00",0.5,22,37,0,121.203986,24.952786,20
龍潭,桃園市,65,細懸浮微粒,普通,3,0.38,56.3,47.6,40,24,6.1,6.7,0.6,4.6,66,"2023/04/07 22:00:00",0.4,21,34,2,121.21645772,24.86400048,21
湖口,新竹縣,74,細懸浮微粒,普通,1.2,0.44,51.8,50.3,48,30,9.9,10.5,0.6,5.1,63,"2023/04/07 22:00:00",0.4,24,42,0,121.03886894,24.90009696,22
竹東,新竹縣,53,細懸浮微粒,普通,0.4,0.34,56.6,50.8,27,23,5,5.6,0.5,3.5,72,"2023/04/07 22:00:00",0.3,16,24,0,121.08895493,24.74091408,23
新竹,新竹市,73,細懸浮微粒,普通,0.6,0.44,54.7,44.5,36,26,10,11.1,1.1,3.6,48,"2023/04/07 22:00:00",0.4,24,31,0,120.97236752,24.8056356,24
頭份,苗栗縣,64,細懸浮微粒,普通,1.4,0.38,57.2,45.7,41,25,6.7,7.9,1.1,3.5,61,"2023/04/07 22:00:00",0.4,20,33,1,120.89869286,24.69690679,25
苗栗,苗栗縣,65,細懸浮微粒,普通,1.7,0.38,54.5,48.1,29,25,6.4,7.2,0.8,5.1,17,"2023/04/07 22:00:00",0.3,21,27,1,120.82011468,24.56499183,26
