time (sec),SN8 ,SN17 ,SN18 ,SN80 ,SN93 ,SN99 ,SN100 ,SN105 ,SN107 
7.96E-05,0,0,0,0,0,0,0,0,0
0.000167116,0,0,0,0,0,0,0,0,0
0.000263407,0,0,0,0,0,0,0,0,0
0.000369327,0,0,0,0,0,0,0,0,0
0.000485839,0,0,0,0,0,0,0,0,0
0.000614002,0,0,0,0,0,0,0,0,0
0.000754982,0,0,0,0,0,0,0,0,0
0.000910059,0,0,0,0,0,0,0,0,0
0.00108064,0,0,0,0,0,0,0,0,0
0.00126829,0,0,0,0,0,0,0,0,0
0.0014747,0,0,0,0,0,0,0,0,0
0.00170174,0,0,0,0,0,0,0,0,0
0.0019515,0,0,0,0,0,0,0,0,0
0.00222623,0,0,0,0,0,0,0,0,0
0.00252843,0,0,0,0,0,0,0,0,0
0.00286085,0,0,0,0,0,0,0,0,0
0.00322651,0,0,0,0,0,0,0,0,0
0.00362875,0,0,0,0,0,0,0,0,0
0.0040712,0,0,0,0,0,0,0,0,0
0.0045579,0,0,0,0,0,0,0,0,0
0.00509327,0,0,0,0,0,0,0,0,0
0.00568217,0,0,0,0,0,0,0,0,0
0.00632997,0,0,0,0,0,0,0,0,0
0.00704255,0,0,0,0,0,0,0,0,0
0.00782638,0,0,0,0,0,0,0,0,0
0.0086886,0,0,0,0,0,0,0,0,0
0.00963704,0,0,0,0,0,0,0,0,0
0.0106803,0,0,0,0,0,0,0,0,0
0.0118279,0,0,0,0,0,0,0,0,0
0.0130903,0,0,0,0,0,0,0,0,0
0.0144789,0,0,0,0,0,0,0,0,0
0.0160064,0,0,0,0,0,0,0,0,0
0.0176866,0,0,0,0,0,0,0,0,0
0.0195348,0,0,0,0,0,0,0,0,0
0.0215679,0,0,0,0,0,0,0,0,0
0.0238043,0,0,0,0,0,0,0,0,0
0.0262643,0,0,0,0,0,0,0,0,0
0.0289703,0,0,0,0,0,0,0,0,0
0.0319469,0,0,0,0,0,0,0,0,0
0.0352212,0,0,0,0,0,0,0,0,0
0.0388229,0,0,0,0,0,0,0,0,0
0.0424245,0,0,0,0,0,0,0,0,0
0.0460262,0,0,0,0,0,0,0,0,0
0.0496279,0,0,0,0,0,0,0,0,0
0.0535986,0,0,0,0,0,0,0,0,0
0.0564799,0,0,0,0,0,0,0,0,0
0.058785,0,0,0,0,0,0,0,0,0
0.0610901,0,0,0,0,0,0,0,0,0
0.0633952,0,0,0,0,0,0,0,0,0
0.0657003,0,0,0,0,0,0,0,0,0
0.0675443,0,0,0,0,0,0,0,0,0
0.0693884,0,0,0,0,0,0,0,0,0
0.0712325,0,0,0,0,0,0,0,0,0
0.0730765,0,0,0,0,0,0,0,0,0
0.0749206,0,0,0,0,0,0,0,0,0
0.0767647,0,0,0,0,0,0,0,0,0
0.0776867,0,0,0,0,0,0,0,0,0
0.0795308,0,0,0,0,0,0,0,0,0
0.0804528,0,0,0,0,0,0,0,0,0
0.0822969,0,0,0,0,0,0,0,0,0
0.0832189,0,0,0,0,0,0,0,0,0
0.0841409,0,0,0,0,0,0,0,0,0
0.085524,0,0,0,0,0,0,0,0,0
0.086446,0,0,0,0,0,0,0,0,0
0.0882901,0,0,0,0,0,0,0,0,0
0.0892121,0,0,0,0,0,0,0,0,0
0.0910562,0,0,0,0,0,0,0,0,0
0.0929003,0,0,0,0,0,0,0,0,0
0.0947443,0,0,0,0,0,0,0,0,0
0.0965884,0,0,0,0,0,0,0,0,0
0.0975104,0,0,0,0,0,0,0,0,0
0.0993545,0,0,0,0,0,0,0,0,0
0.101199,0,0,0,0,0,0,0,0,0
0.102674,0,0,0,0,0,0,0,0,0
0.104149,0,0,0,0,0,0,0,0,0
0.105624,0,0,0,0,0,0,0,0,0
0.1071,0,0,0,0,0,0,0,0,0
0.108575,0,0,0,0,0,0,0,0,0
0.11005,0,0,0,0,0,0,0,0,0
0.111525,0,0,0,0,0,0,0,0,0
0.113001,0,0,0,0,0,0,0,0,0
0.114476,0,0,0,0,0,0,0,0,0
0.115951,0,0,0,0,0,0,0,0,0
0.117426,0,0,0,0,0,0,0,0,0
0.118902,0,0,0,0,0,0,0,0,0
0.120377,0,0,0,0,0,0,0,0,0
0.121852,0,0,0,0,0,0,0,0,0
0.123327,0,0,0,0,0,0,0,0,0
0.124803,0,0,0,0,0,0,0,0,0
0.126278,0,0,0,0,0,0,0,0,0
