®É¶¡ (sec),SN38 ,SN39 ,SN40 ,SN102 ,SN121 ,SN129 
4.57897e-05,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
9.61583e-05,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000151564,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00021251,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00027955,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000353295,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000434414,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000523645,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000621799,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000729768,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000848535,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.000979178,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00112289,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00128096,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00145485,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00164612,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00185653,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00208797,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00234255,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0026226,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00293065,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0032695,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00364224,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00405226,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00450327,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00499939,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00554512,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00614542,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00680575,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00753212,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00833112,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.00921002,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0101768,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0112403,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0124101,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0136969,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0151124,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0166694,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0183821,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0202661,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0223385,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0246182,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0271258,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0298842,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0329184,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.036256,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0399274,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0439659,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0480044,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.052043,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0562895,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0588742,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0614588,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0635265,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0655943,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.067662,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0697297,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0717975,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0738652,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0759329,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0769668,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0790345,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0805853,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0821361,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0831699,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0847207,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0857546,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0878223,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0888562,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0909239,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0919578,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0940255,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.0960932,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.098161,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.100229,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.101883,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.103537,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.105191,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.106845,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.1085,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.110154,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.111808,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
0.113462,42.6429,42.6429,42.6429,42.6429,42.6429,42.6429
