time (sec),totalWeight (g),partWeight (g),screwPosition (mm),injectionPressure (MPa),injectionSpeed (mm/sec)
0,0,0.0956296,260,0,0
3.45E-05,0,0.0956296,68,0.00150787,0.0276021
7.25E-05,0,0.0956296,68,0.00151313,0.0291191
0.000114282,0,0.0956296,68,0.00152414,0.0307877
0.000160237,0,0.0956296,68,0.0015306,0.032623
0.000210787,0,0.0956296,68,0.0015435,0.0346416
0.000266392,0,0.0956296,68,0.00156349,0.0368618
0.000327558,0,0.0956296,68,0.00159163,0.0393038
0.00039484,0,0.0956296,68,0.00162905,0.0419896
0.000468851,0,0.0956296,68,0.00167597,0.0449436
0.000550262,0,0.0956296,68,0.00173263,0.0481925
0.000639815,0,0.0956296,68,0.00179913,0.0517656
0.000738322,0,0.0956296,68,0.00187568,0.0556953
0.000846681,0,0.0956296,68,0.00197227,0.0600171
0.000965876,0,0.0956296,68,0.00208908,0.06477
0.00109699,0,0.0956296,67.9999,0.00222312,0.0699969
0.00124122,0,0.0956296,67.9999,0.00237783,0.0757449
0.00139986,0,0.0956296,67.9999,0.00255835,0.0820658
0.00157437,0,0.0956296,67.9999,0.00277583,0.0890165
0.00176634,0,0.0956296,67.9999,0.00303447,0.0966594
0.0019775,0,0.0956296,67.9999,0.00334431,0.105063
0.00220978,0,0.0956296,67.9999,0.00371519,0.114303
0.00246528,0,0.0956296,67.9998,0.0041581,0.124463
0.00274633,0,0.0956296,67.9998,0.00468611,0.135632
0.00305549,0,0.0956296,67.9997,0.0053149,0.14791
0.00339557,0,0.0956296,67.9997,0.00605782,0.161408
0.00376965,0,0.0956296,67.9996,0.00693657,0.176245
0.00418115,0,0.0956296,67.9996,0.00798924,0.192553
0.00463379,0,0.0956296,67.9995,0.00923054,0.210477
0.00513169,0,0.0956296,67.9994,0.0106842,0.230173
0.00567939,0,0.0956296,67.9992,0.0123301,0.252387
0.00628185,0,0.0956296,67.9991,0.0143044,0.279396
0.00694456,0,0.0956296,67.9989,0.0166747,0.312209
0.00767355,0,0.0956296,67.9987,0.0195477,0.352036
0.00847543,0,0.0956296,67.9984,0.0230671,0.400337
0.0093575,0,0.0956296,67.998,0.0274184,0.45886
0.0103278,0,0.0956296,67.9976,0.0328327,0.529701
0.0113951,0,0.0956296,67.997,0.0395987,0.615361
0.0125691,0,0.0956296,67.9963,0.0480896,0.71882
0.0138605,0,0.0956296,67.9954,0.0587541,0.843609
0.0152811,0,0.0956296,67.9942,0.0721473,0.993898
0.0168438,0,0.0956296,67.9926,0.0889342,1.17458
0.0185627,0,0.0956296,67.9906,0.109902,1.39135
0.0204535,0,0.0956296,67.988,0.135961,1.6508
0.0225333,0,0.0956296,67.9845,0.168132,1.96042
0.0248212,0,0.0956296,67.9801,0.20751,2.32864
0.0273378,0,0.0956296,67.9742,0.255204,2.76477
0.0301061,0,0.0956296,67.9665,0.312243,3.27877
0.0331513,0,0.0956296,67.9566,0.37999,3.88096
0.0365009,0,0.0956296,67.9436,0.459308,4.58142
0.0401856,0,0.0956296,67.9267,0.551749,5.38918
0.0438702,0,0.0956296,67.9068,0.645641,6.22966
0.0475548,0,0.0956296,67.8839,0.739016,7.09212
0.0516706,0,0.0956296,67.8547,0.844815,8.06449
0.0546183,0,0.0956296,67.8309,0.911976,8.74799
0.0569764,0,0.0956296,67.8103,0.957598,9.26647
0.0593346,0,0.0956296,67.7884,0.999346,9.76106
0.0616927,0,0.0956296,67.7654,1.03919,10.2329
0.0640509,0,0.0956296,67.7413,1.08048,10.6829
0.0659374,0,0.0956296,67.7211,1.11522,11.028
0.067824,0,0.0956296,67.7003,1.1518,11.3602
0.0697105,0,0.0956296,67.6789,1.19278,11.6802
0.071597,0,0.0956296,67.6569,1.23674,11.9883
0.0734835,0,0.0956296,67.6342,1.28268,12.285
0.0753701,0,0.0956296,67.6111,1.33027,12.5708
0.0763133,0,0.0956296,67.5992,1.35377,12.7096
0.0781998,0,0.0956296,67.5752,1.40476,12.9796
0.0800864,0,0.0956296,67.5507,1.45789,13.2396
0.0810296,0,0.0956296,67.5383,1.48435,13.3659
0.0824445,0,0.0956296,67.5193,1.52672,13.5511
0.0833878,0,0.0956296,67.5066,1.55551,13.6716
0.0848027,0,0.0956296,67.4872,1.60128,13.8482
0.085746,0,0.0956296,67.4742,1.6325,13.9632
0.0876325,0,0.0956296,67.4478,1.6988,14.1867
0.0885757,0,0.0956296,67.4344,1.73202,14.2954
0.0904623,0,0.0956296,67.4075,1.80173,14.5067
0.0914055,0,0.0956296,67.3938,1.83573,14.6093
0.0932921,0,0.0956296,67.3662,1.90506,14.809
0.0951786,0,0.0956296,67.3383,1.97396,15.0012
0.0970651,0,0.0956296,67.31,2.04329,15.1863
0.0985743,0,0.0956296,67.2871,2.0965,15.3295
0.100084,0,0.0956296,67.2639,2.14748,15.4684
0.101593,0,0.0956296,67.2406,2.19707,15.6031
0.103102,0,0.0956296,67.217,2.24623,15.7339
0.104611,0,0.0956296,67.1933,2.29327,15.8608
0.10612,0,0.0956296,67.1693,2.33958,15.9839
0.10763,0,0.0956296,67.1452,2.38541,16.1033
0.109139,0,0.0956296,67.1209,2.42994,16.2192
0.110648,0,0.0956296,67.0964,2.47436,16.3316
0.112157,0,0.0956296,67.0718,2.51861,16.4407
0.113666,0,0.0956296,67.047,2.56222,16.5465
0.115176,0,0.0956296,67.022,2.60615,16.6492
0.116685,0,0.0956296,66.9969,2.64995,16.7489
0.118194,0,0.0956296,66.9716,2.69415,16.8456
0.119703,0,0.0956296,66.9462,2.7389,16.9394
0.121213,0,0.0956296,66.9206,2.78436,17.0304
0.122722,0,0.0956296,66.8949,2.82964,17.1187
0.124231,0,0.0956296,66.8691,2.87554,17.2044
0.12574,0,0.0956296,66.8431,2.92245,17.2875
0.127249,0,0.0956296,66.817,2.96943,17.3682
0.128759,0,0.0956296,66.7908,3.0163,17.4464
0.130268,0,0.0956296,66.7645,3.0638,17.5224
0.131777,0,0.0956296,66.738,3.11118,17.596
0.133286,0,0.0956296,66.7115,3.15833,17.6675
0.134041,0,0.0956296,66.6981,3.18191,17.7025
0.13555,0,0.0956296,66.6714,3.23073,17.7708
0.137059,0,0.0956296,66.6446,3.27985,17.8371
0.138569,0,0.0956296,66.6177,3.32988,17.9014
0.140078,0,0.0956296,66.5907,3.38079,17.9638
0.14121,0,0.0956296,66.5703,3.41931,18.0094
0.142342,0,0.0956296,66.55,3.45791,18.054
0.143474,0,0.0956296,66.5295,3.49737,18.0975
0.144228,0,0.0956296,66.5159,3.52381,18.126
0.145737,0,0.0956296,66.4885,3.57775,18.1818
0.146492,0,0.0956296,66.4748,3.60511,18.209
0.147247,0,0.0956296,66.461,3.63292,18.2358
0.148756,0,0.0956296,66.4335,3.68989,18.2883
0.149511,0,0.0956296,66.4197,3.71883,18.3139
0.15102,0,0.0956296,66.3921,3.77766,18.3641
0.152529,0,0.0956296,66.3644,3.83672,18.4127
0.154038,0,0.0956296,66.3366,3.89619,18.4599
0.155547,0,0.0956296,66.3087,3.95576,18.5057
0.157057,0,0.0956296,66.2808,4.01424,18.5501
0.158566,0,0.0956296,66.2528,4.0722,18.5933
0.159321,0,0.0956296,66.2388,4.10097,18.6143
0.16083,0,0.0956296,66.2107,4.15862,18.6555
0.162339,0,0.0956296,66.1825,4.2157,18.6955
0.163848,0,0.0956296,66.1543,4.2724,18.7343
0.165357,0,0.0956296,66.126,4.32806,18.772
0.166867,0,0.0956296,66.0977,4.38249,18.8085
0.168376,0,0.0956296,66.0693,4.43638,18.8439
0.169885,0,0.0956296,66.0409,4.48988,18.8783
0.171394,0,0.0956296,66.0124,4.54229,18.9116
0.172903,0,0.0956296,65.9838,4.59356,18.944
0.174413,0,0.0956296,65.9552,4.64601,18.9754
0.175922,0,0.0956296,65.9266,4.69793,19.0059
0.177431,0,0.0956296,65.8979,4.74786,19.0354
0.17894,0,0.0956296,65.8692,4.79787,19.0641
0.18045,0,0.0956296,65.8404,4.84808,19.092
0.181959,0,0.0956296,65.8116,4.89743,19.119
0.182713,0,0.0956296,65.7972,4.92161,19.1322
0.184223,0,0.0956296,65.7683,4.97115,19.158
0.185732,0,0.0956296,65.7394,5.02157,19.183
0.187241,0,0.0956296,65.7104,5.07207,19.2073
0.18875,0,0.0956296,65.6815,5.12207,19.2309
0.19026,0,0.0956296,65.6524,5.17229,19.2537
0.191769,0,0.0956296,65.6234,5.22286,19.2759
0.193278,0,0.0956296,65.5943,5.27358,19.2975
0.194033,0,0.0956296,65.5797,5.29889,19.308
0.195542,0,0.0956296,65.5506,5.34986,19.3286
0.196296,0,0.0956296,65.536,5.37552,19.3386
0.197428,0,0.0956296,65.5141,5.41511,19.3534
0.198183,0,0.0956296,65.4995,5.44206,19.3631
0.199315,0,0.0956296,65.4776,5.48325,19.3774
0.200447,0,0.0956296,65.4556,5.52516,19.3913
0.201201,0,0.0956296,65.441,5.55353,19.4004
0.202711,0,0.0956296,65.4117,5.61192,19.4183
0.203918,0,0.0956296,65.3883,5.65899,19.4321
0.205125,0,0.0956296,65.3648,5.706,19.4457
0.205729,0,0.0956296,65.3531,5.72948,19.4523
0.206936,0,0.0956296,65.3296,5.77727,19.4654
0.208144,0,0.0956296,65.3061,5.82504,19.4782
0.209351,0,0.0956296,65.2826,5.87239,19.4906
0.210559,0,0.0956296,65.259,5.91954,19.5028
0.211766,0,0.0956296,65.2355,5.96606,19.5146
0.212973,0,0.0956296,65.2119,6.0119,19.5262
0.214181,0,0.0956296,65.1884,6.05726,19.5375
0.215388,0,0.0956296,65.1648,6.10242,19.5486
0.216595,0,0.0956296,65.1412,6.14719,19.5593
0.217803,0,0.0956296,65.1176,6.19121,19.5698
0.21901,0,0.0956296,65.0939,6.23472,19.5801
0.220217,0,0.0956296,65.0703,6.27787,19.5901
0.221425,0,0.0956296,65.0466,6.32088,19.5999
0.222632,0,0.0956296,65.023,6.36327,19.6094
0.223236,0,0.0956296,65.0111,6.38413,19.6141
0.224443,0,0.0956296,64.9875,6.42555,19.6233
0.225651,0,0.0956296,64.9638,6.46849,19.6323
0.226858,0,0.0956296,64.9401,6.51089,19.6411
0.227824,0,0.0956296,64.9211,6.54412,19.648
0.22879,0,0.0956296,64.9021,6.57698,19.6547
0.229756,0,0.0956296,64.8831,6.60977,19.6613
0.230722,0,0.0956296,64.8641,6.64274,19.6678
0.231688,0,0.0956296,64.8451,6.67568,19.6741
0.232653,0,0.0956296,64.8261,6.70842,19.6804
0.233619,0,0.0956296,64.8071,6.74102,19.6865
0.234585,0,0.0956296,64.7881,6.77359,19.6925
0.235551,0,0.0956296,64.7691,6.80611,19.6984
0.236517,0,0.0956296,64.7501,6.83843,19.7042
0.237483,0,0.0956296,64.731,6.87053,19.7098
0.238449,0,0.0956296,64.712,6.90257,19.7154
0.239415,0,0.0956296,64.6929,6.9346,19.7208
0.240381,0,0.0956296,64.6739,6.96665,19.7262
0.241153,0,0.0956296,64.6587,6.99222,19.7304
0.241772,0,0.0956296,64.6465,7.01258,19.7337
0.24239,0,0.0956296,64.6343,7.03292,19.7369
0.243008,0,0.0956296,64.6221,7.05329,19.7402
0.243502,0,0.0956296,64.6123,7.06953,19.7427
0.24375,0,0.0956296,64.6074,7.0776,19.744
0.244244,0,0.0956296,64.5976,7.09364,19.7465
0.244492,0,0.0956296,64.5928,7.10169,19.7478
0.244739,0,0.0956296,64.5879,7.10982,19.749
0.245233,0,0.0956296,64.5781,7.12603,19.7515
0.245258,0,0.0956296,64.5776,7.12684,19.7516
0.245753,0,0.0956296,64.5679,7.14413,19.754
0.24597,0,0.0956296,64.5636,7.15325,19.7551
0.246318,0,0.0956296,64.5567,7.17117,19.7568
0.24633,0,0.0956296,64.5565,7.17181,19.7569
0.246341,0,0.0956296,64.5562,7.17249,19.7569
0.246563,0,0.0956296,64.5518,7.18693,19.758
0.246571,0,0.0956296,64.5517,7.18749,19.758
0.246728,0,0.0956296,64.5486,7.1987,19.7588
0.246885,0,0.0956296,64.5455,7.21066,19.7596
0.246891,0,0.0956296,64.5454,7.21119,19.7596
0.246898,0,0.0956296,64.5452,7.21171,19.7596
0.247023,0,0.0956296,64.5428,7.22273,19.7602
0.247029,0,0.0956296,64.5426,7.22326,19.7602
0.247139,0,0.0956296,64.5405,7.23411,19.7608
0.247144,0,0.0956296,64.5404,7.23459,19.7608
0.247148,0,0.0956296,64.5403,7.23506,19.7608
0.247236,0,0.0956296,64.5385,7.24483,19.7612
0.247239,0,0.0956296,64.5385,7.24519,19.7613
0.247242,0,0.0956296,64.5384,7.24553,19.7613
0.247298,0,0.0956296,64.5373,7.25238,19.7615
0.247302,0,0.0956296,64.5373,7.2528,19.7616
0.247364,0,0.0956296,64.536,7.26064,19.7618
0.247367,0,0.0956296,64.536,7.26111,19.7619
0.247436,0,0.0956296,64.5346,7.27037,19.7622
0.247439,0,0.0956296,64.5345,7.27092,19.7622
0.247515,0,0.0956296,64.533,7.28192,19.7626
0.247518,0,0.0956296,64.533,7.28241,19.7626
0.247521,0,0.0956296,64.5329,7.28289,19.7626
0.247587,0,0.0956296,64.5316,7.29367,19.7629
0.24759,0,0.0956296,64.5315,7.29431,19.7629
0.247594,0,0.0956296,64.5315,7.29496,19.7629
0.247674,0,0.0956296,64.5299,7.30929,19.7633
0.247679,0,0.0956296,64.5298,7.31016,19.7633
0.247767,0,0.0956296,64.5281,7.32781,19.7638
0.247772,0,0.0956296,64.528,7.32885,19.7638
0.247777,0,0.0956296,64.5279,7.32988,19.7638
0.247873,0,0.0956296,64.526,7.35144,19.7643
0.247878,0,0.0956296,64.5259,7.35259,19.7643
0.247883,0,0.0956296,64.5258,7.35372,19.7643
0.24799,0,0.0956296,64.5237,7.37937,19.7648
0.247994,0,0.0956296,64.5236,7.38045,19.7648
0.247998,0,0.0956296,64.5235,7.38153,19.7649
0.248003,0,0.0956296,64.5234,7.38272,19.7649
0.248106,0,0.0956296,64.5214,7.40904,19.7654
0.248112,0,0.0956296,64.5212,7.41054,19.7654
0.248118,0,0.0956296,64.5211,7.41201,19.7654
0.248243,0,0.0956296,64.5187,7.44451,19.766
0.248248,0,0.0956296,64.5186,7.44585,19.766
0.248253,0,0.0956296,64.5185,7.44716,19.766
0.248258,0,0.0956296,64.5184,7.44862,19.7661
0.248379,0,0.0956296,64.516,7.48069,19.7666
0.248386,0,0.0956296,64.5158,7.48247,19.7667
0.248392,0,0.0956296,64.5157,7.48426,19.7667
0.248399,0,0.0956296,64.5156,7.48606,19.7667
0.248532,0,0.0956296,64.5129,7.52212,19.7673
0.248538,8.49E-14,0.0956296,64.5128,7.52372,19.7674
0.248544,1.47E-11,0.0956296,64.5127,7.52533,19.7674
0.24855,6.93E-10,0.0956296,64.5126,7.52711,19.7674
0.248557,2.22E-08,0.0956296,64.5124,7.52904,19.7675
0.248713,5.64E-07,0.0956296,64.5094,7.57226,19.7682
0.248721,1.29E-05,0.0956296,64.5092,7.57446,19.7682
0.248729,0.00012095,0.0956296,64.5091,7.57663,19.7683
0.248737,0.000494276,0.0956296,64.5089,7.57904,19.7683
0.248746,0.0010898,0.0956296,64.5087,7.58147,19.7683
0.248934,0.00178611,0.0956296,64.505,7.63477,19.7692
0.248945,0.00256957,0.0956296,64.5048,7.63773,19.7693
0.248956,0.00348435,0.0956296,64.5046,7.64095,19.7693
0.248969,0.00444742,0.0956296,64.5043,7.64452,19.7694
0.249107,0.00554447,0.0956296,64.5016,7.68356,19.77
0.249122,0.00673491,0.0956296,64.5013,7.68788,19.7701
0.249139,0.008055,0.0956296,64.5009,7.69263,19.7702
0.249322,0.00948471,0.0956296,64.4973,7.74548,19.771
0.249342,0.0109708,0.0956296,64.4969,7.75128,19.7711
0.249363,0.012358,0.0956296,64.4965,7.75708,19.7712
0.249585,0.0138961,0.0956296,64.4921,7.82155,19.7722
0.249609,0.0154686,0.0956296,64.4916,7.82864,19.7723
0.249634,0.01693,0.0956296,64.4912,7.83579,19.7724
0.249768,0.0186716,0.0956296,64.4885,7.87528,19.773
0.249798,0.020194,0.0956296,64.4879,7.88405,19.7732
0.249946,0.0220728,0.0956296,64.485,7.92821,19.7738
0.249978,0.0239176,0.0956296,64.4843,7.93799,19.774
0.250157,0.0260526,0.0956296,64.4808,7.99209,19.7748
0.250197,0.0283888,0.0956296,64.48,8.00407,19.775
0.250413,0.0309102,0.0956296,64.4757,8.07006,19.7759
0.250652,0.0342314,0.0956296,64.471,8.14278,19.777
0.250699,0.0366936,0.0956296,64.4701,8.15736,19.7772
0.250937,0.0396568,0.0956296,64.4654,8.23013,19.7783
0.251176,0.042371,0.0956296,64.4607,8.30276,19.7793
0.251223,0.0454043,0.0956296,64.4597,8.31731,19.7795
0.251461,0.0479974,0.0956296,64.455,8.38924,19.7806
0.2517,0.0509166,0.0956296,64.4503,8.46194,19.7816
0.251938,0.0535213,0.0956296,64.4456,8.53447,19.7827
0.252176,0.0563595,0.0956296,64.4409,8.60753,19.7837
0.252414,0.0590244,0.0956296,64.4362,8.68059,19.7847
0.252652,0.0616827,0.0956296,64.4314,8.75433,19.7857
0.252891,0.0645344,0.0956296,64.4267,8.8281,19.7868
0.253129,0.0669131,0.0956296,64.422,8.90213,19.7878
0.253367,0.0696061,0.0956296,64.4173,8.9767,19.7888
0.253605,0.072149,0.0956296,64.4126,9.05119,19.7898
0.253844,0.0746624,0.0956296,64.4079,9.12616,19.7908
0.254082,0.0775536,0.0956296,64.4032,9.20117,19.7918
0.25432,0.079872,0.0956296,64.3985,9.2761,19.7928
0.254558,0.0824842,0.0956296,64.3937,9.3514,19.7938
0.25482,0.0855185,0.0956296,64.3885,9.43404,19.7948
0.255345,0.0880187,0.0956296,64.3782,9.59844,19.797
0.255869,0.0908335,0.0956296,64.3678,9.7647,19.7991
0.256393,0.0937237,0.0956296,64.3574,9.92958,19.8012
0.256917,0.0962182,0.0956296,64.347,10.0957,19.8033
0.257441,0.0989846,0.0956296,64.3367,10.2626,19.8053
0.257965,0.10188,0.0956296,64.3263,10.428,19.8073
0.258489,0.104389,0.0956296,64.3159,10.5946,19.8094
0.259013,0.107169,0.0956296,64.3055,10.7619,19.8113
0.259537,0.110156,0.0956296,64.2951,10.9277,19.8133
0.260061,0.112687,0.0956296,64.2848,11.0946,19.8153
0.26111,0.11546,0.0956296,64.264,11.4299,19.8191
0.262158,0.1187,0.0956296,64.2432,11.7655,19.8228
0.263206,0.121345,0.0956296,64.2224,12.1009,19.8265
0.264254,0.124252,0.0956296,64.2017,12.438,19.8301
0.265302,0.127741,0.0956296,64.1809,12.7751,19.8336
0.26635,0.130561,0.0956296,64.1601,13.1119,19.8371
0.267399,0.13365,0.0956296,64.1393,13.4501,19.8405
0.268447,0.137443,0.0956296,64.1185,13.7882,19.8438
0.269495,0.140469,0.0956296,64.0977,14.1257,19.847
0.270543,0.143798,0.0956296,64.0769,14.4645,19.8502
0.271591,0.14788,0.0956296,64.0561,14.8031,19.8533
0.273217,0.150769,0.0956296,64.0238,15.3274,19.858
0.274843,0.153552,0.0956296,63.9915,15.8525,19.8625
0.276468,0.157335,0.0956296,63.9592,16.3784,19.8669
0.278092,0.160519,0.0956296,63.927,16.904,19.8712
0.279716,0.163701,0.0956296,63.8947,17.4255,19.8753
0.281339,0.167531,0.0956296,63.8624,17.9451,19.8793
0.282962,0.171615,0.0956296,63.8302,18.461,19.8831
0.284584,0.175825,0.0956296,63.7979,18.973,19.8869
0.286205,0.180591,0.0956296,63.7657,19.4816,19.8905
0.287826,0.185285,0.0956296,63.7334,19.9859,19.894
0.289447,0.19094,0.0956296,63.7012,20.4869,19.8974
0.290899,0.195758,0.0956296,63.6723,20.9326,19.9003
0.292351,0.200405,0.0956296,63.6434,21.3739,19.9031
0.293802,0.20566,0.0956296,63.6145,21.8125,19.9059
0.294863,0.21072,0.0956296,63.5934,22.1309,19.9079
0.295534,0.216589,0.0956296,63.5801,22.3313,19.9091
0.296205,0.222302,0.0956296,63.5667,22.5294,19.9103
0.296876,0.227823,0.0956296,63.5533,22.7274,19.9115
0.297547,0.233327,0.0956296,63.54,22.926,19.9127
0.297882,0.238755,0.0956296,63.5333,23.0248,19.9133
0.298217,0.244704,0.0956296,63.5266,23.1234,19.9139
0.298553,0.250742,0.0956296,63.52,23.2216,19.9144
0.298888,0.256616,0.0956296,63.5133,23.3195,19.915
0.299224,0.263385,0.0956296,63.5066,23.4169,19.9156
