,max_syspressure,int_syspressure,max_SN8 ,int_SN8 ,res_SN8 ,max_SN17 ,int_SN17 ,res_SN17 ,max_SN18 ,int_SN18 ,res_SN18 ,max_SN80 ,int_SN80 ,res_SN80 ,max_SN93 ,int_SN93 ,res_SN93 ,max_SN99 ,int_SN99 ,res_SN99 ,max_SN100 ,int_SN100 ,res_SN100 ,max_SN105 ,int_SN105 ,res_SN105 ,max_SN107 ,int_SN107 ,res_SN107 ,L3
0,224.959,869.5232791,124.419,534.1709733,15.42117051,109.873,510.8731316,20.86082062,109.905,509.8380948,20.67333876,108.695,503.9340448,21.18862062,121.328,532.5309051,17.11738319,108.69,504.1471428,21.25028909,124.774,534.8894699,15.33527685,109.885,510.5070732,20.75781946,108.697,503.7283415,21.36205944,299.3189697
1,193.652,657.8181947,95.6444,465.5058869,13.59085947,87.5186,446.7575416,15.23807331,87.5307,446.2140728,15.23659335,87.1028,440.6007659,15.24709909,93.5645,463.4851365,14.37769861,87.1017,440.7240094,15.29868238,95.9078,466.0523849,13.58604396,87.5241,446.592783,15.17534419,87.1041,440.4388357,15.38256949,299.1443176
2,168.317,583.5697353,64.1974,427.3399519,14.43106471,59.6672,399.8682273,12.72882353,59.6725,399.6239549,12.87129412,59.4084,392.0162943,12.45246471,62.6575,422.4957087,14.43335294,59.408,392.072522,12.50059412,64.4205,428.1528135,14.54022353,59.6694,399.8011805,12.67446471,59.4092,391.927819,12.60612353,299.0553589
3,153.279,568.9706119,45.5995,390.8187068,12.34456128,45.1053,366.9474952,9.894736592,45.1109,366.8421557,10.19234664,44.8666,360.3421034,9.900165527,45.4877,386.07145,12.12763549,44.8353,360.3630511,9.937667578,45.6117,391.5350582,12.48734845,45.1073,366.9242676,9.849342198,44.8949,360.3050784,10.07816702,298.9819946
4,140.271,585.9763856,51.3083,442.9078893,17.90587927,50.7836,424.5748755,15.36772064,50.7879,424.4953234,15.77715718,50.5269,419.4714149,15.64066992,51.1913,439.1862734,17.61084075,50.5241,419.4808237,15.66433026,51.3229,443.4867039,18.04756821,50.7852,424.5542281,15.33897022,50.5322,419.4499066,15.84724811,299.1293335
5,205.368,773.9427186,121.625,506.675016,10.97025149,110.74,478.5912729,13.45014529,110.745,477.9877345,13.70654529,109.88,468.7736843,12.97704135,119.278,504.1183799,12.38153177,109.879,468.8956983,13.02107074,121.862,507.3712959,10.98380009,110.743,478.3769548,13.37793624,109.882,468.6026691,13.29929842,299.0959473
6,152.335,627.1984332,79.2732,456.8744741,11.49943858,74.172,428.1301657,10.38662418,74.1784,427.8474017,10.7557887,73.8206,419.4463185,9.864505996,77.9787,452.3587867,11.90165177,73.8203,419.5140135,9.89773546,79.4574,457.6453439,11.6003123,74.1748,428.03587,10.34289985,73.8213,419.3369145,10.1373922,298.9991455
7,129.596,596.0071077,56.1013,440.7250147,12.00837261,53.8975,415.0157709,9.611552241,53.8986,414.8955853,10.09607753,53.7258,407.907912,9.42598199,55.5578,435.8547449,11.98688664,53.7257,407.9538987,9.448218093,56.1955,441.4909274,12.15237682,53.8981,414.9716362,9.579813448,53.7261,407.8448104,9.702851544,298.973999
8,224.947,732.6192961,53.3102,438.366028,14.34013892,48.7791,401.7959383,12.01434258,48.7914,401.1940336,11.79857978,48.5871,391.1242105,11.47320624,51.7024,430.6966096,14.03349914,48.5856,391.2210684,11.5318628,53.9044,439.6077725,14.43941591,48.7854,401.6638695,11.93629333,48.5886,390.8574573,11.50473484,299.0380859
9,205.236,466.5097344,46.2399,258.1434587,0,34.6226,231.4775569,0,34.6346,230.9977346,0,34.2252,223.474709,0,42.3251,252.3461799,0,34.1597,223.5618661,0,46.7594,259.1078723,0,34.6273,231.3710695,0,34.2676,223.261853,0,298.6605835
10,162.405,718.0284424,100.89,492.4456679,10.22427908,93.3326,447.1930087,9.097184542,93.3355,447.0307525,9.78164944,92.7664,433.528467,7.948210458,99.3827,485.9340637,11.31700082,92.7661,433.5954095,7.967226545,101.062,493.571472,10.37783208,93.3355,447.0755011,9.050892684,92.767,433.4852955,8.384331318,298.9631653
11,215.049,847.7841179,99.134,678.4059786,27.04838596,89.078,642.4410613,27.20879176,89.0873,641.260079,27.01278226,88.4927,629.4478687,26.45641655,96.5048,673.7183675,27.66079476,88.4907,629.6995147,26.51048295,99.4753,679.5534824,27.0337695,89.0727,642.1314785,27.13560972,88.4952,629.0277108,26.52618411,299.4380798
12,191.828,765.0749857,69.6967,578.6102312,21.57022286,63.7624,539.3786047,19.43417023,63.771,538.6730418,19.38393591,63.5049,527.6562729,18.84529252,67.6776,570.8578677,21.46966625,63.5041,527.8150972,18.90054545,69.989,579.9707824,21.6657948,63.766,539.2126389,19.36982825,63.506,527.3363422,18.92608486,299.2277832
