no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,L1,L2,L3,W1,W2,W3,warpage,weight
1,18,10,10,14,40,20,10,1,2,190,40,299.6102295,299.5939941,299.6101685,99.89128876,99.86976624,99.85730743,0.09030574,100.968
2,18,10,15,15,45,25,12.5,1.5,2.5,200,50,299.2611694,299.2497559,299.2618103,99.7504425,99.76019287,99.75033569,0.162226185,100.519
3,18,10,20,16,50,30,15,2,3,210,60,299.1381226,299.133667,299.1387329,99.70943451,99.71699524,99.71412659,0.069754828,100.383
4,18,10,25,17,55,35,17.5,2.5,3.5,220,70,299.0525818,299.0505981,299.0534668,99.67884827,99.68531799,99.68978882,0.073773986,100.261
5,18,10,30,18,60,40,20,3,4,230,80,299.128418,299.1306763,299.129425,99.70205688,99.70944214,99.71728516,0.070359662,100.25
6,18,11.5,10,14,40,25,12.5,1.5,3,210,60,299.1376953,299.1139832,299.1388245,99.70871735,99.72107697,99.70857239,0.202641726,100.33
7,18,11.5,15,15,45,30,15,2,3.5,220,70,298.9576111,298.9492798,298.9588013,99.647789,99.65701294,99.65583801,0.083795223,100.103
8,18,11.5,20,16,50,35,17.5,2.5,4,230,80,298.9550171,298.9495239,298.9547729,99.65133667,99.65579987,99.65081787,0.080052633,100.056
9,18,11.5,25,17,55,40,20,3,2,190,40,299.4473267,299.4489746,299.4475708,99.80679321,99.81738281,99.82402039,0.055485224,100.959
10,18,11.5,30,18,60,20,10,1,2.5,200,50,298.965332,298.9632568,298.9658508,99.65312958,99.65884399,99.65713501,0.077243939,100.062
11,18,13,10,14,40,30,15,2,4,230,80,298.8323975,298.8206787,298.8336792,99.60394287,99.61418915,99.61571503,0.070505787,99.9214
12,18,13,15,15,45,35,17.5,2.5,2,190,40,299.6613159,299.6585693,299.661377,99.8838501,99.8996582,99.88092041,0.067269562,101.221
13,18,13,20,16,50,40,20,3,2.5,200,50,299.4040527,299.4020691,299.4043579,99.79191589,99.80400085,99.80840302,0.076671004,100.864
14,18,13,25,17,55,20,10,1,3,210,60,298.7862244,298.7820129,298.7868042,99.59200287,99.59913635,99.59772491,0.119091555,99.7562
15,18,13,30,18,60,25,12.5,1.5,3.5,220,70,298.7966919,298.7935791,298.7975464,99.59829712,99.60115051,99.60061646,0.088765848,99.8073
16,23,10,10,15,50,20,12.5,2,2,200,60,299.3439941,299.3285522,299.344574,99.78862,99.79104614,99.76406097,0.117249791,100.707
17,23,10,15,16,55,25,15,2.5,2.5,210,70,299.1394043,299.1325684,299.1400146,99.71281433,99.71891785,99.70916748,0.085967522,100.427
