,max_syspressure,int_syspressure,max_SN8 ,int_SN8 ,res_SN8 ,max_SN17 ,int_SN17 ,res_SN17 ,max_SN18 ,int_SN18 ,res_SN18 ,max_SN80 ,int_SN80 ,res_SN80 ,max_SN93 ,int_SN93 ,res_SN93 ,max_SN99 ,int_SN99 ,res_SN99 ,max_SN100 ,int_SN100 ,res_SN100 ,max_SN105 ,int_SN105 ,res_SN105 ,max_SN107 ,int_SN107 ,res_SN107 ,Weight
0,225.001,878.9553208,122.728,574.1268322,17.88106239,111.245,575.5317258,27.29922825,111.283,573.7726646,27.05514782,110.444,572.8547571,27.97899092,119.72,578.0158849,20.15232552,110.408,573.1008957,28.00068531,123.088,574.4714958,17.6099284,111.262,574.9691084,27.24167954,110.458,572.6139813,28.03765663,100.968
1,190.893,662.9610165,90.0756,481.1643374,14.78969863,85.698,467.4625009,17.47695058,85.6904,466.8281597,17.43796472,85.3546,461.8426024,17.41240134,89.0641,480.3349879,15.74678339,85.3515,461.978217,17.44481087,90.2024,481.5881414,14.71531158,85.6991,467.2807841,17.43283915,85.3565,461.6726081,17.49277385,100.519
2,168.32,591.2523405,69.8292,461.2198247,16.1323637,67.8376,441.2718802,15.76007391,67.8466,440.9755436,15.90030217,67.6667,435.0467812,15.7646409,69.2731,458.2989538,16.43659886,67.6659,435.111415,15.8130599,69.9123,461.7671032,16.19887036,67.8414,441.1882271,15.70417248,67.6677,434.9418132,15.91098057,100.383
3,152.263,574.8625291,57.6519,446.5935539,16.83389595,56.9146,425.0359843,14.45659676,56.9164,424.9084293,14.81591067,56.7971,419.0484883,14.73885877,57.4131,442.4931942,16.78266412,56.7965,419.0833249,14.80436625,57.69,447.2404514,17.02318177,56.9154,425.0014604,14.38176173,56.7976,418.9908146,14.97973444,100.261
4,138.365,591.5292278,54.2405,470.2132799,19.69862563,53.9911,453.7850825,17.82450974,53.992,453.71065,18.02410374,53.919,449.294726,17.96476072,54.1854,467.0043774,19.56010275,53.9175,449.3121238,18.02679309,54.2482,470.7124726,19.84638491,53.9915,453.7565374,17.78575259,53.9204,449.2572658,18.18660651,100.25
5,190.739,765.5933587,108.669,521.7628986,11.93418876,100.897,498.5988114,14.91559836,100.902,497.990543,15.164378,100.39,490.0763503,14.54254321,106.978,520.2470643,13.4099123,100.389,490.202016,14.58600819,108.881,522.3223027,11.92815397,100.899,498.3869358,14.84886107,100.392,489.8947666,14.85077295,100.33
6,151.299,628.6946133,79.0649,473.8956388,11.55578395,76.5826,450.1793068,10.97090071,76.5861,449.9149475,11.4022485,76.3434,442.846548,10.93126526,78.4398,470.4579328,12.31265079,76.3431,442.9004621,11.00156014,79.1609,474.4845603,11.72799735,76.5841,450.1069222,10.89872681,76.3438,442.7309693,11.24479277,100.103
7,127.259,596.7498395,61.2066,480.1737344,14.51920293,60.4084,458.5199075,12.91372552,60.4089,458.4072536,13.14873766,60.2808,452.4946321,12.74207885,61.0662,476.2811259,14.57373915,60.2806,452.5262386,12.7780149,61.2351,480.7754243,14.66023083,60.4087,458.4893636,12.87724354,60.2811,452.4344849,12.98066119,100.056
8,225.199,745.2689036,68.3305,579.8835211,27.03685086,66.1237,541.8268617,25.05003622,66.1177,540.9522017,24.78457717,65.8366,530.6822715,24.2779508,67.6583,571.9580248,26.89235288,65.8274,530.8873234,24.30903692,68.4245,581.4094146,27.04921546,66.1069,541.5907771,25.00095288,65.8415,530.4134676,24.20147024,100.959
9,206.28,478.7167592,59.6782,383.8983139,6.771077716,58.4638,374.0857994,6.152411145,58.4776,373.4006388,6.044960554,58.3148,370.5211639,6.357141613,59.3129,382.2604356,6.721373089,58.3092,370.6793645,6.402971008,59.7516,384.3714673,6.822922581,58.4703,373.9140504,6.096265555,58.318,370.2354453,6.359454548,100.062
10,160.079,709.0467146,98.1308,505.8579387,10.7079737,93.7558,469.2964935,10.31759684,93.7559,469.1135981,10.64862953,93.441,458.0416662,9.614213537,97.1723,500.7370331,11.35620241,93.4408,458.0788383,9.639511907,98.2562,506.6614318,10.81996405,93.7567,469.2338591,10.27592471,93.4412,457.9298947,9.890351235,99.9214
11,217.15,858.8750937,96.7331,722.9481028,30.29220129,91.0543,696.6581756,31.89807765,91.0659,694.6355498,31.65760566,90.6352,684.7065605,31.02655956,95.4247,721.8243982,31.28475414,90.6213,685.1596947,31.0520116,96.9267,724.0841935,30.15412758,91.0586,696.0938093,31.85210434,90.6422,684.1735941,30.99512878,101.221
12,193.306,774.0828962,74.0738,641.5062187,26.26474628,71.5636,602.3736346,24.4363476,71.5833,601.5138841,24.35794493,71.32,590.7594722,23.70010704,73.1486,633.9287653,26.27271321,71.3166,590.9987542,23.72977382,74.23,643.0038056,26.28512074,71.5694,602.1357756,24.40036229,71.322,590.4632094,23.71546998,100.864
13,174.517,485.9799702,60.4409,368.7060282,2.145743605,59.3177,357.1134836,0.990733812,59.3227,356.4377528,1.118272759,59.1477,353.6138718,1.264472132,60.1423,366.3986857,2.081168017,59.1466,353.8061908,1.318040099,60.4805,369.2961278,2.265903642,59.3198,356.9363567,0.929990318,59.1489,353.2751282,1.392369043,99.7562
14,158.312,497.2910429,54.2858,414.8097874,5.516709388,53.921,405.0807926,3.9290917,53.9232,404.7229732,4.268363867,53.8339,402.1277302,4.679984649,54.1978,412.8472088,5.49335098,53.8321,402.2189987,4.753495063,54.2994,415.2051423,5.713634577,53.9219,405.0002679,3.827387356,53.8352,401.9475538,4.91536152,99.8073
15,183.075,819.355863,86.843,540.6950502,17.60338162,78.7737,517.3276382,23.49100191,78.7847,516.7186797,23.50855373,78.2206,509.4036949,23.85057799,85.2296,538.8893041,19.3110185,78.2175,509.4967703,23.88831815,87.1064,541.3064299,17.50566599,78.7777,517.1389589,23.42672169,78.2229,509.2680595,24.0465501,100.707
