no,VP_position,packing_pressure1,packing_pressure2,packing_time1,material_temperature,mold_temperature,warpage
1,14,40,20,1,190,40,0.09030574
2,15,45,25,1.5,200,50,0.162226185
3,16,50,30,2,210,60,0.069754828
4,17,55,35,2.5,220,70,0.073773986
5,18,60,40,3,230,80,0.070359662
6,14,40,25,1.5,210,60,0.202641726
7,15,45,30,2,220,70,0.083795223
8,16,50,35,2.5,230,80,0.080052633
9,17,55,40,3,190,40,0.055485224
10,18,60,20,1,200,50,0.077243939
11,14,40,30,2,230,80,0.070505787
12,15,45,35,2.5,190,40,0.067269562
13,16,50,40,3,200,50,0.076671004
14,17,55,20,1,210,60,0.119091555
15,18,60,25,1.5,220,70,0.088765848
16,15,50,20,2,200,60,0.117249791
17,16,55,25,2.5,210,70,0.085967522
18,17,60,30,3,220,80,0.071423182
19,18,40,35,1,230,40,0.058949107
20,14,45,40,1.5,190,50,0.250324339
21,15,50,25,2.5,220,80,0.068910128
22,16,55,30,3,230,40,0.334558815
23,17,60,35,1,190,50,0.052346615
24,18,40,40,1.5,200,60,0.0640937
25,14,45,20,2,210,70,0.088730423
26,15,50,30,3,190,50,0.064599926
27,16,55,35,1,200,60,0.079057077
28,17,60,40,1.5,210,70,0.06380471
29,18,40,20,2,220,80,0.07111105
30,14,45,25,2.5,230,40,0.132595628
31,16,60,20,3,210,80,0.068527486
32,17,40,25,1,220,40,0.080390565
33,18,45,30,1.5,230,50,0.050266851
34,14,50,35,2,190,60,0.12515353
35,15,55,40,2.5,200,70,0.074116355
36,16,60,25,1,230,50,0.1996314
37,17,40,30,1.5,190,60,0.06750378
38,18,45,35,2,200,70,0.064274851
39,14,50,40,2.5,210,80,0.06909105
40,15,55,20,3,220,40,0.120875835
41,16,60,30,1.5,200,70,0.07116635
42,17,40,35,2,210,80,0.067216139
43,18,45,40,2.5,220,40,0.044193001
44,14,50,20,3,230,50,0.086206106
45,15,55,25,1,190,60,0.161618952
