no,packing_time,VP_position,packing_pressure1,packing_time1,material_temperature,mold_temperature,warpage
1,10,14,40,1,190,40,0.09030574
2,10,15,45,1.5,200,50,0.162226185
3,10,16,50,2,210,60,0.069754828
4,10,17,55,2.5,220,70,0.073773986
5,10,18,60,3,230,80,0.070359662
6,11.5,14,40,1.5,210,60,0.202641726
7,11.5,15,45,2,220,70,0.083795223
8,11.5,16,50,2.5,230,80,0.080052633
9,11.5,17,55,3,190,40,0.055485224
10,11.5,18,60,1,200,50,0.077243939
11,13,14,40,2,230,80,0.070505787
12,13,15,45,2.5,190,40,0.067269562
13,13,16,50,3,200,50,0.076671004
14,13,17,55,1,210,60,0.119091555
15,13,18,60,1.5,220,70,0.088765848
16,10,15,50,2,200,60,0.117249791
17,10,16,55,2.5,210,70,0.085967522
18,10,17,60,3,220,80,0.071423182
19,10,18,40,1,230,40,0.058949107
20,10,14,45,1.5,190,50,0.250324339
21,11.5,15,50,2.5,220,80,0.068910128
22,11.5,16,55,3,230,40,0.334558815
23,11.5,17,60,1,190,50,0.052346615
24,11.5,18,40,1.5,200,60,0.0640937
25,11.5,14,45,2,210,70,0.088730423
26,13,15,50,3,190,50,0.064599926
27,13,16,55,1,200,60,0.079057077
28,13,17,60,1.5,210,70,0.06380471
29,13,18,40,2,220,80,0.07111105
30,13,14,45,2.5,230,40,0.132595628
31,10,16,60,3,210,80,0.068527486
32,10,17,40,1,220,40,0.080390565
33,10,18,45,1.5,230,50,0.050266851
34,10,14,50,2,190,60,0.12515353
35,10,15,55,2.5,200,70,0.074116355
36,11.5,16,60,1,230,50,0.1996314
37,11.5,17,40,1.5,190,60,0.06750378
38,11.5,18,45,2,200,70,0.064274851
39,11.5,14,50,2.5,210,80,0.06909105
40,11.5,15,55,3,220,40,0.120875835
41,13,16,60,1.5,200,70,0.07116635
42,13,17,40,2,210,80,0.067216139
43,13,18,45,2.5,220,40,0.044193001
44,13,14,50,3,230,50,0.086206106
45,13,15,55,1,190,60,0.161618952
